request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
257,BasicRequest,1,43560,43560,9872;-1;-1,2944;-1;-1,,,,,2947.325044810882,53616.77199999999,0:t_wait:0;t_drive:3247.325044810881;fare:5361,,,0.0,27.0,43560.0,47203.99820408633,5361.0,0
663,BasicRequest,1,46080,46080,10011;-1;-1,2944;-1;-1,,,,,590.4850718764126,11248.866000000002,0:t_wait:233.51313220990414;t_drive:890.4850718764137;fare:1124,,,0.0,27.0,46313.513132209904,47203.99820408633,1124.0,0
331,BasicRequest,1,47220,47220,2961;-1;-1,2944;-1;-1,,,,,194.40168157456253,2743.9480000000003,0:,,,,,,,,0
2429,BasicRequest,1,47220,47220,11863;-1;-1,2944;-1;-1,,,,,2928.1677525266223,61943.695999999996,0:,,,,,,,,0
1051,BasicRequest,1,47280,47280,10105;-1;-1,2944;-1;-1,,,,,777.7178126902754,11612.436000000002,0:,,,,,,,,0
579,BasicRequest,1,46440,46440,3042;-1;-1,2944;-1;-1,,,,,222.23758763526882,3642.5239999999994,0:t_wait:354.1252914221841;t_drive:522.2375876352671;fare:364,,,0.0,23.0,46794.125291422184,47316.36287905745,364.0,0
2293,BasicRequest,1,47340,47340,4516;-1;-1,2944;-1;-1,,,,,5547.690847090687,131188.556,0:,,,,,,,,0
2200,BasicRequest,1,45000,45000,2944;-1;-1,6606;-1;-1,,,,,1243.45408671778,22568.07,0:t_wait:221.15579541993793;t_drive:2145.891084602961;fare:2256,,,0.0,28.0,45221.155795419945,47367.04688002291,2256.0,0
1941,BasicRequest,1,47400,47400,3293;-1;-1,2944;-1;-1,,,,,3045.0405504288365,72956.44,0:,,,,,,,,0
2541,BasicRequest,1,47460,47460,8048;-1;-1,2944;-1;-1,,,,,3388.9783591740957,70504.88000000003,0:,,,,,,,,0
59,BasicRequest,1,47520,47520,9495;-1;-1,2944;-1;-1,,,,,3453.6780399529534,77725.0,0:,,,,,,,,0
1281,BasicRequest,1,47520,47520,9947;-1;-1,2944;-1;-1,,,,,734.4767280738959,12753.966999999997,0:,,,,,,,,0
1126,BasicRequest,1,46800,46800,2944;-1;-1,10750;-1;-1,,,,,378.788334244266,6381.464,0:t_wait:47.97499035222427;t_drive:678.7883342442656;fare:638,,,0.0,4.0,46847.974990352224,47526.76332459649,638.0,0
1114,BasicRequest,1,46800,46800,2944;-1;-1,10750;-1;-1,,,,,378.788334244266,6381.464,0:t_wait:47.97499035222427;t_drive:678.7883342442656;fare:638,,,0.0,4.0,46847.974990352224,47526.76332459649,638.0,0
2045,BasicRequest,1,47580,47580,4189;-1;-1,2944;-1;-1,,,,,894.5725002914795,17251.868,0:,,,,,,,,0
2631,BasicRequest,1,47580,47580,4639;-1;-1,2944;-1;-1,,,,,5306.168195960314,121883.75700000001,0:,,,,,,,,0
1276,BasicRequest,1,45900,45900,2944;-1;-1,10742;-1;-1,,,,,729.9082138411409,12818.132000000001,0:t_wait:335.0349482916863;t_drive:1404.9173472144248;fare:1281,,,0.0,29.0,46235.03494829168,47639.95229550612,1281.0,0
2329,BasicRequest,1,47640,47640,10319;-1;-1,2944;-1;-1,,,,,6182.801781516121,124790.843,0:,,,,,,,,0
2673,BasicRequest,1,47640,47640,4789;-1;-1,2944;-1;-1,,,,,4077.8250422006695,81265.309,0:,,,,,,,,0
190,BasicRequest,1,47700,47700,2944;-1;-1,9815;-1;-1,,,,,5850.142655229831,136064.797,0:,,,,,,,,0
206,BasicRequest,1,47700,47700,2944;-1;-1,7369;-1;-1,,,,,4714.208179394842,96147.48199999999,0:,,,,,,,,0
214,BasicRequest,1,47700,47700,2944;-1;-1,9874;-1;-1,,,,,1651.7958237605324,34081.8,0:,,,,,,,,0
226,BasicRequest,1,47700,47700,2944;-1;-1,9849;-1;-1,,,,,1713.2145394045674,35537.001000000004,0:,,,,,,,,0
